Charge,Address,City,District
Aggravated assault,600 block Park Av,Syracuse,Syracuse
Burglary,300 block Nottingham Rd,Syracuse,DeWitt
Burglary,400 block Westcott St,Syracuse,Syracuse
Burglary,100 block Gray Av,Syracuse,Syracuse
Larceny,8000 block Brewerton Rd,Cicero,Onondaga County
Larceny,200 block E Molloy Rd,Mattydale,Onondaga County
Larceny,300 block Comstock Av,Syracuse,Syracuse
Larceny,4800 block S Salina St,Syracuse,Syracuse
Robbery,7500 block Oswego Rd,Liverpool,Onondaga County
Aggravated assault,200 block Hayden Av,Syracuse,Syracuse
Aggravated assault,100 block Culbert St,Syracuse,Syracuse
Aggravated assault,500 block Gifford St,Syracuse,Syracuse
Burglary,1400 block N Salina St,Syracuse,Syracuse
Burglary,400 block W Seneca Tpke,Syracuse,Syracuse
Burglary,600 block Valley Dr,Syracuse,Syracuse
Burglary,800 block Highland St,Syracuse,Syracuse
Larceny,4000 block Route 31,Clay,Onondaga County
Larceny,300 block Belle Isle Rd,Syracuse,Solvay
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,400 block James St,Syracuse,Syracuse
Vehicle theft,8700 block Lovere Trl,Cicero,Cicero
Vehicle theft,100 block Grand Av,Syracuse,Syracuse
Aggravated assault,200 block Merriman Av,Syracuse,Syracuse
Aggravated assault,100 block Fernwood Av,Syracuse,Syracuse
Burglary,900 block Lancaster Av,Syracuse,Syracuse
Burglary,700 block Onondaga Av,Syracuse,Syracuse
Larceny,8000 block Brewerton Rd,Cicero,Cicero
Larceny,3400 block Erie Blvd E,DeWitt,DeWitt
Larceny,8700 block Dell Center Dr,Liverpool,Onondaga County
Larceny,2800 block Brewerton Rd,Mattydale,Onondaga County
Larceny,200 block Carbon St,Syracuse,Syracuse
Larceny,500 block Seymour St,Syracuse,Syracuse
Larceny,900 block James St,Syracuse,Syracuse
Larceny,300 block W Washington St,Syracuse,Syracuse
Larceny,1200 block Erie Blvd W,Syracuse,Syracuse
Robbery,300 block E Kennedy St,Syracuse,Syracuse
Robbery,1700 block Bellevue Av,Syracuse,Syracuse
Robbery,600 block Valley Dr,Syracuse,Syracuse
Vehicle theft,100 block Sunnybrook Dr,Syracuse,Camillus
Aggravated assault,600 block W Onondaga St,Syracuse,Syracuse
Aggravated assault,300 block Wadsworth St,Syracuse,Syracuse
Burglary,0 block Centennial Dr,Syracuse,Syracuse
Burglary,200 block Clarendon St,Syracuse,Syracuse
Larceny,3700 block Black Brant Dr,Liverpool,Onondaga County
Larceny,100 block W Pleasant St,Manlius,Manlius
Larceny,4500 block Waltham Dr,Manlius,Manlius
Larceny,400 block Vann St,Syracuse,Syracuse
Robbery,200 block Columbus Av,Syracuse,Syracuse
Vehicle theft,100 block Oakley Dr E,Syracuse,Syracuse
Vehicle theft,800 block N Townsend St,Syracuse,Syracuse
Aggravated assault,300 block Green St,Syracuse,Syracuse
Aggravated assault,1000 block S Mcbride St,Syracuse,Syracuse
Burglary,8100 block Avoss Ln,Clay,Onondaga County
Burglary,6400 block Kirkville Rd N,Kirkville,Manlius
Burglary,6300 block Costello Pkwy,Minoa,Manlius
Burglary,100 block E Kennedy St,Syracuse,Syracuse
Burglary,500 block S Crouse Av,Syracuse,Syracuse
Burglary,1400 block Burnet Av,Syracuse,Syracuse
Larceny,8000 block Brewerton Rd,Cicero,Cicero
Larceny,5500 block Tobin Path,Clay,Onondaga County
Larceny,5300 block Tourmaline Dr,Clay,Onondaga County
Larceny,8700 block Dell Center Dr,Liverpool,Onondaga County
Larceny,300 block Fayette St,Manlius,Manlius
Larceny,2800 block Brewerton Rd,Mattydale,Onondaga County
Larceny,100 block Bailey Rd,North Syracuse,Onondaga County
Larceny,100 block N Geddes St,Syracuse,Syracuse
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse
Larceny,100 block Shop City Plaza,Syracuse,Onondaga County
Murder,100 block Wood Av,Syracuse,Syracuse
Burglary,100 block Eureka St,Syracuse,Syracuse
Burglary,100 block Grant Av,Syracuse,Syracuse
Burglary,200 block Milton Av,Syracuse,Syracuse
Burglary,100 block Eloise Ter,Syracuse,Syracuse
