House Price,Square Feet,Lot Size,Bedrooms,Bathrooms,Garage,Year Built,Elementary School Score,Middle School Score,High School Score,Walk Score,Property Taxes,Highway,Restaurant,Park,Shopping Mall,Street Address of House,Zip Code
"179,900.00","1,600.00","43,560.00",3,2,Yes,1994,9,4,2,15,"3,182.00",No,22,18,1.3,504 Winkworth Pkwy,13219
"128,000.00","1,992.00","6,969.00",4,2.5,Yes,1950,2,4,2,43,"1,393.00",No,7,5,0.6,136 Austin Ave,13207
"114,900.00","1,378.00","5,227.00",4,1,Yes,1930,2,4,2,50,"1,331.00",No,6,7,0.5,701 Velasko Rd,13207
"107,500.00","1,452.00","5,227.00",3,1,Yes,1931,2,4,1,42,157,No,12,8,0.8,518 Wolcott Ave,13207
"43,000.00",850,"6,098.00",2,1,Yes,1955,2,9,1,57,"1,525.00",No,8,20,0.6,112 Wolcott Ave,13207
"85,000.00","1,639.00","7,840.00",4,1,No,1915,2,4,1,36,"2,184.00",No,32,11,2.5,212 Roberts Ave,13207
"254,900.00","3,560.00","13,503.00",5,3.5,Yes,1940,2,4,2,28,"5,202.00",No,27,13,2.6,168 Robineau Rd,13207
"63,000.00","1,788.00","5,227.00",3,1,No,1890,4,1,2,43,788,No,34,6,3.3,136 Parkside ave,13207
"188,000.00","2,832.00","10,454.00",4,2,Yes,1905,2,4,1,49,"2,500.00",No,12,11,1.9,121 Ruskin Ave,13207
"169,900.00","1,864.00","6,534.00",4,2,Yes,1926,2,4,2,52,"2,251.00",No,22,4,4.1,203 Wellesley Rd,13207
"38,000.00","1,162.00","3,049.00",3,1,Yes,1890,1,1,2,37,"1,141.00",No,26,21,3.2,"160 Berger Ave, Syracuse NY",13205
"59,900.00","1,540.00","3,920.00",4,1,No,1900,1,2,1,52,"1,343.00",No,40,4,2.3,106 Glahn Ave,13205
"59,900.00","1,260.00","13,503.00",4,2,No,1950,1,1,2,33,963,No,23,24,3.5,368 W Matson Ave,13205
"212,990.00","2,800.00","16,552.00",4,5,Yes,1930,9,2,3,25,"3,953.00",No,23,24,2.1,208 Standish Dr,13224
"212,990.00","2,800.00","16,552.00",4,5,Yes,1930,9,2,3,25,"3,953.00",No,23,24,2.1,208 Standish Dr,13224
"212,990.00","2,800.00","16,552.00",4,5,Yes,1930,9,2,3,25,"3,953.00",No,23,24,2.1,208 Standish Dr,13224
"159,000.00","2,330.00","12,196.00",4,2,Yes,1940,9,2,3,6,"3,320.00",No,22,34,1.5,203 Lockwood Rd,13214
"119,500.00","1,008.00","7,731.00",3,1,Yes,1952,9,2,3,17,"1,537.00",No,27,47,2.3,200 Locksley Rd,13224
"185,000.00","2,136.00","28,314.00",3,2,Yes,1964,9,2,3,35,"4,081.00",No,20,23,1.4,205 Bradford Pkwy,13224
"34,000.00","1,194.00","4,356.00",3,1,Yes,1915,1,1,2,35,"1,126.00",No,16,24,3,127 Winman Ave,13205
"28,000.00",720,"5,227.00",2,1,Yes,1925,1,1,2,42,"1,237.00",No,11,19,3.1,508 W. Newell St,13205
"159,900.00","1,984.00","9,147.00",5,2,Yes,1960,9,2,3,16,"2,177.00",No,40,15,1.5,406 Hillsboro Pkwy,13214
"63,000.00","1,788.00","5,227.00",3,1,No,1890,4,1,2,43,788,No,31,44,2.4,"163, Parkside Ave,",13207
"132,000.00","1,786.00","4,093.00",3,1.5,No,1910,1,2,1,56,"1,620.00",No,12,8,2.7,"301, South Avery Avenue",13204
"180,000.00","1,204.00","3,484.00",4,2,No,1900,1,1,2,74,609,No,7,14,1.7,"114, Nelson Street",13204
"98,999.00","1,462.00",,4,2,No,1890,1,1,2,71,"1,651.00",No,9,8,1.8,567 S Wilbur Ave,13204
"50,310.00","1,460.00","6,534.00",3,2,No,1900,4,1,2,58,509,Yes,4,8,1.7,"217,Rockland Ave,",13207
"40,000.00","1,248.00","8,276.00",3,1,No,1920,4,2,2,43,506,No,7,0,4.2,421 Glenwood Ave,13207
"18,500.00","1,976.00","2,401.00",6,2,No,1910,2,1,1,68,"1,231.00",No,3,28,0.4,"209,Lemoyne Ave",13208
"80,105.00","1,378.00","4,070.00",3,1,No,1900,2,1,2,56,"1,603.00",No,7,13,2.6,236 Huntley street,13208
"82,828.00","2,262.00",,6,2,Yes,1915,4,1,2,66,"1,240.00",No,1,1,0.7,137 E Bissel St.,13207
"62,957.00","1,722.00","6,239.00",6,2,Yes,1900,2,4,1,48,"1,723.00",No,0.9,15,0.9,"1508 S Geddes St, ",13207
"49,900.00","1,194.00","9,583.00",2,1,No,1860,1,9,1,49,"1,113.00",No,24,15,1.5,134 Hoefler St,13204
"42,000.00","1,110.00","3,484.00",3,2,Yes,1925,1,2,1,57,"1,088.00",No,23,15,1.6,205 Hartson St,13204
"79,900.00","1,234.00","5,662.00",2,1,Yes,1930,2,2,3,49,"1,140.00",No,21,10,2.8,302 Beattie St,13224
"69,998.00","1,150.00","3,435.00",3,1.5,Yes,1962,2,3,3,48,"1,201.00",No,20,1,2.1,306 Mountainview Ave,13224
"74,900.00","1,198.00","4,791.00",3,2,Yes,1923,2,2,3,59,"1,661.00",No,19,5,2.2,147 Fayette Blvd,13224
"72,000.00","1,320.00","4,356.00",3,2,Yes,1925,2,2,3,50,"1,595.00",No,17,15,1.7,273 Genessee Park Drive,13224
"49,900.00","2,003.00","3,920.00",6,2,No,1900,2,4,1,59,"1,950.00",No,26,26,1.8,310 Arthur Street,13204
"79,900.00","1,548.00","6,098.00",3,1,Yes,1973,2,2,3,63,794,No,12,5,2.9,484 Audubon Parkway,13224
"84,900.00","1,250.00","6,000.00",3,1.5,Yes,1952,2,2,5,48,875,Yes,21,7,2.1,638 Salisbury Park Drive,13224
"56,000.00","1,664.00","1,735.00",4,2,No,1910,1,3,2,65,871,No,11,17,3.2,461 Westmoreland Ave,13210
"74,900.00",944,"10,711.00",2,2,Yes,1984,1,3,2,65,"2,263.00",Yes,0.5,8,4.5,230 Delhi Street,13202
"24,900.00","1,656.00","4,356.00",2,2,No,1900,1,3,2,72,"1,086.00",Yes,6,10,1.6,813 Hawley Ave,13203
"72,500.00","3,627.00","2,613.00",7,5,No,1910,1,3,2,78,"1,860.04",No,3,16,2.7,705 Lodi St,13203
"58,900.00","2,712.00","4,356.00",6,3,No,1870,1,1,1,81,"2,302.00",No,2,16,1.2,1006 N Townsend St,13208
"49,900.00","2,464.00","3,484.00",6,3,No,1900,1,1,1,87,"1,890.00",No,2,17,5,412 E Division,13208
"29,900.00","1,390.00","1,742.00",3,1,No,1910,1,1,1,80,959,No,6,18,1.4,109 Lilac street,13208
"45,000.00","2,624.00","4,791.00",6,2,No,1900,1,1,1,83,"1,484.00",No,7,19,1.5,608 Ash Street,13208
"59,000.00","2,208.00","4,356.00",4,2,No,1910,1,1,1,71,"1,372.00",No,8,20,1.4,1113 Park Street,13208
"79,950.00",972,"4,791.00",2,1,Yes,1925,2,1,2,38,"1,031.00",No,25,26,0.2,110 Merril St,13208
"69,900.00","1,160.00","6,969.00",2,1,Yes,1950,2,1,2,48,"1,272.00",No,26,29,0.4,310 Martin St,13208
"59,900.00","1,536.00","4,791.00",3,1,Yes,1930,2,1,2,47,"1,461.00",No,25,24,0.2,308 Cadillac St,13208
"94,900.00",976,"6,098.00",2,2,No,1974,2,1,2,47,"1,251.00",No,24,23,0.4,150 7th North St,13208
"81,900.00","1,728.00","7,123.00",4,2,Yes,1915,2,1,2,49,"1,285.00",No,26,20,0.2,1435 Court St,13208
"12,000.00","1,524.00","4,000.00",4,2,Yes,1950,2,1,2,32,"2,030.00",No,25,25,0.5,1045 Wadsworth St,13208
"79,900.00","1,080.00","5,227.00",3,1,Yes,1950,2,1,2,32,"1,386.00",No,24,26,0.5,133 Harford Rd,13208
"64,930.00","1,056.00","5,822.00",3,1,Yes,1928,2,1,2,40,"1,362.00",No,22,29,0.5,325 Harford Rd,13208
"60,570.00","1,136.00","8,844.00",3,1,No,1950,2,1,2,45,"1,237.00",No,23,26,0.4,108 Ellen St,13208
"83,625.00","1,572.00","4,000.00",3,1,Yes,1920,2,1,2,32,"1,626.00",No,26,24,0.4,1037 Wadsworth St,13208
"115,740.00","2,814.00","5,940.00",7,3,No,1925,1,1,2,64,"1,841.00",No,14,23,1.6,316 Shonnard St,13204
"54,782.00","1,394.00","1,742.00",6,2,No,1910,1,1,2,70,665,No,19,22,2,420 Merriman Ave,13204
"56,172.00","1,712.00","3,049.00",4,2,No,1900,1,1,2,70,909,No,19,22,2,418 Merriman Ave,13204
"89,842.00","1,600.00","4,356.00",5,2,No,1870,1,1,2,70,715,No,18,27,2,661 Gifford St,13204
"65,809.00","1,590.00","5,808.00",3,1,No,1925,1,1,2,71,"2,630.00",No,20,28,1.8,519 Seymour St,13204
"53,516.00","1,131.00","4,356.00",4,1.5,No,1870,1,1,2,69,739,No,18,30,1.8,607 Gifford St,13204
"110,654.00","2,452.00","6,600.00",6,3,No,1920,1,1,2,71,"1,160.00",No,17,21,1.8,411 Seymour St,13204
"87,943.00","2,284.00","1,320.00",6,2,Yes,1900,1,1,2,80,821,No,14,23,1.5,314 Seymour St,13204
"143,473.00","3,618.00","4,356.00",8,3,No,1930,1,1,4,77,715,No,12,26,1.6,333 Gifford St,13204
"102,641.00","2,708.00","4,356.00",4,2,No,1925,1,1,4,77,857,No,12,28,1.6,331 Gifford St,13204
"182,000.00","1,200.00","67,953.60",2,1,No,1940,1,1,2,81,0,No,6,15,3.9,917 Madison St.,13210
"159,900.00","1,065.00",0,2,1,No,1940,1,1,2,82,746,No,14,15,3.9,917 Madison St.,13210
"159,900.00","1,455.00",0,2,2,No,1940,1,1,2,81,"1,395.00",No,8,15,3.9,917 Madison St.,13210
"100,000.00","1,093.00","6,098.00",3,1,Yes,1943,2,1,2,44,"1,344.00",No,8,20,2.7,516 Darlington Rd,13208
"61,111.00","1,829.00","3,049.00",5,2,No,1930,1,2,1,61,"2,014.00",No,8,4,2.8,119 Essex St,13204
"69,900.00",864,"3,920.00",3,1,Yes,1952,2,1,2,44,"1,100.00",No,13,21,2.9,375 Pleasantview Ave,13208
"69,900.00","1,252.00","4,356.00",4,1,No,1910,1,2,1,65,"1,398.00",No,9,9,2,824 Avery Ave.,13204
"63,900.00","1,743.00","3,484.00",4,2,No,1935,1,2,1,60,"2,003.00",No,8,4,2.2,205 Essex,13204
"44,900.00","1,284.00","2,613.00",3,1.5,Yes,1925,1,2,1,52,"1,392.00",No,7,8,2.1,112 Coykendall Ave,13204
"56,000.00","1,590.00","3,484.00",4,2,Yes,1840,1,2,1,66,"1,574.00",No,6,9,2.2,418 Chemung St.,13204
"79,900.00",949,"5,227.00",2,2,Yes,1925,2,1,2,56,907,No,5,18,2.2,245 Dale St # 47,13208
"64,900.00","1,292.00","11,325.60",3,2,No,1920,1,2,1,59,875,No,4,11,2.2,112 Kincaid Ave.,13204
"13,203.00","3,627.00","2,613.00",7,5,No,1910,1,3,2,78,0,No,0.4,0,1,705 Lodi St,13203
"61,170.00","1,248.00","3,703.00",2,2,Yes,1988,1,3,2,81,0,No,0.4,0,1,606 Lodi St,13203
"89,900.00","1,176.00","4,791.00",3,1,Yes,1925,2,1,2,48,"1,596.00",No,7,21,2.2,172 Loma Ave,13208
"39,900.00","1,910.00","4,356.00",3,0,No,1900,1,2,1,60,"1,536.00",No,6,9,1.9,934 Emerson Ave.,13204
"89,000.00","1,313.00","3,795.00",3,2,No,1906,1,2,1,48,0,No,0.6,0.1,3.3,536 Bryant Ave,13204
"132,000.00","1,786.00","4,093.00",3,1.5,No,1910,1,2,1,56,"1,620.00",No,0.6,0.1,3.3,301 S Avery Ave,13204
"97,888.00","1,578.00","4,125.00",3,1.5,Yes,1928,1,2,1,54,"1,934.00",No,0.6,0.1,3.3,447 Whittier Ave,13204
"89,900.00","1,604.00","4,536.00",4,2,Yes,1920,2,1,2,44,"1,393.00",No,7,24,2.4,254 Maplehurst Ave,13208
"180,000.00","2,316.00","6,995.00",4,3.5,Yes,1940,1,3,2,68,"1,880.00",No,0.4,0,1.3,321 Allen St,13210
