Street Address of House,City,State,Zip Code
504 Winkworth Pkwy,Syracuse,NY,13219
136 Austin Ave,Syracuse,NY,13207
701 Velasko Rd,Syracuse,NY,13207
518 Wolcott Ave,Syracuse,NY,13207
112 Wolcott Ave,Syracuse,NY,13207
212 Roberts Ave,Syracuse,NY,13207
168 Robineau Rd,Syracuse,NY,13207
136 Parkside ave,Syracuse,NY,13207
121 Ruskin Ave,Syracuse,NY,13207
203 Wellesley Rd,Syracuse,NY,13207
160 Berger Ave,Syracuse,NY,13205
106 Glahn Ave,Syracuse,NY,13205
368 W Matson Ave,Syracuse,NY,13205
208 Standish Dr,Syracuse,NY,13224
208 Standish Dr,Syracuse,NY,13224
208 Standish Dr,Syracuse,NY,13224
203 Lockwood Rd,Syracuse,NY,13214
200 Locksley Rd,Syracuse,NY,13224
205 Bradford Pkwy,Syracuse,NY,13224
127 Winman Ave,Syracuse,NY,13205
508 W. Newell St,Syracuse,NY,13205
406 Hillsboro Pkwy,Syracuse,NY,13214
"163, Parkside Ave,",Syracuse,NY,13207
"301, South Avery Avenue",Syracuse,NY,13204
"114, Nelson Street",Syracuse,NY,13204
567 S Wilbur Ave,Syracuse,NY,13204
"217,Rockland Ave,",Syracuse,NY,13207
421 Glenwood Ave,Syracuse,NY,13207
"209,Lemoyne Ave",Syracuse,NY,13208
236 Huntley street,Syracuse,NY,13208
137 E Bissel St.,Syracuse,NY,13207
"1508 S Geddes St, ",Syracuse,NY,13207
134 Hoefler St,Syracuse,NY,13204
205 Hartson St,Syracuse,NY,13204
302 Beattie St,Syracuse,NY,13224
306 Mountainview Ave,Syracuse,NY,13224
147 Fayette Blvd,Syracuse,NY,13224
273 Genessee Park Drive,Syracuse,NY,13224
310 Arthur Street,Syracuse,NY,13204
484 Audubon Parkway,Syracuse,NY,13224
638 Salisbury Park Drive,Syracuse,NY,13224
461 Westmoreland Ave,Syracuse,NY,13210
230 Delhi Street,Syracuse,NY,13202
813 Hawley Ave,Syracuse,NY,13203
705 Lodi St,Syracuse,NY,13203
1006 N Townsend St,Syracuse,NY,13208
412 E Division,Syracuse,NY,13208
109 Lilac street,Syracuse,NY,13208
608 Ash Street,Syracuse,NY,13208
1113 Park Street,Syracuse,NY,13208
110 Merril St,Syracuse,NY,13208
310 Martin St,Syracuse,NY,13208
308 Cadillac St,Syracuse,NY,13208
150 7th North St,Syracuse,NY,13208
1435 Court St,Syracuse,NY,13208
1045 Wadsworth St,Syracuse,NY,13208
133 Harford Rd,Syracuse,NY,13208
325 Harford Rd,Syracuse,NY,13208
108 Ellen St,Syracuse,NY,13208
1037 Wadsworth St,Syracuse,NY,13208
316 Shonnard St,Syracuse,NY,13204
420 Merriman Ave,Syracuse,NY,13204
418 Merriman Ave,Syracuse,NY,13204
661 Gifford St,Syracuse,NY,13204
519 Seymour St,Syracuse,NY,13204
607 Gifford St,Syracuse,NY,13204
411 Seymour St,Syracuse,NY,13204
314 Seymour St,Syracuse,NY,13204
333 Gifford St,Syracuse,NY,13204
331 Gifford St,Syracuse,NY,13204
917 Madison St.,Syracuse,NY,13210
917 Madison St.,Syracuse,NY,13210
917 Madison St.,Syracuse,NY,13210
516 Darlington Rd,Syracuse,NY,13208
119 Essex St,Syracuse,NY,13204
375 Pleasantview Ave,Syracuse,NY,13208
824 Avery Ave.,Syracuse,NY,13204
205 Essex,Syracuse,NY,13204
112 Coykendall Ave,Syracuse,NY,13204
418 Chemung St.,Syracuse,NY,13204
245 Dale St # 47,Syracuse,NY,13208
112 Kincaid Ave.,Syracuse,NY,13204
705 Lodi St,Syracuse,NY,13203
606 Lodi St,Syracuse,NY,13203
172 Loma Ave,Syracuse,NY,13208
934 Emerson Ave.,Syracuse,NY,13204
607 James St,Syracuse,NY,13203
536 Bryant Ave,Syracuse,NY,13204
301 S Avery Ave,Syracuse,NY,13204
447 Whittier Ave,Syracuse,NY,13204
254 Maplehurst Ave,Syracuse,NY,13208
321 Allen St,Syracuse,NY,13210
157 Cambridge St,Syracuse,NY,13210
464 Allen St,Syracuse,NY,13210
511 Pleasantview Ave,Syracuse,NY,13208
166 Briggs St,Syracuse,NY,13208
832 Wadsworth St,Syracuse,NY,13208
116 Wilmore Pl,Syracuse,NY,13208
218 Seward Street,Syracuse,NY,13203
717 Park Ave,Syracuse,NY,13204
105 Schneider Street,Syracuse,NY,1323
217 Highland Ave,Syracuse,NY,13203
332 Apple St,Syracuse,NY,13204
336 S. Edwards Ave,Syracuse,NY,13206
532 Richmond Ave,Syracuse,NY,13204
128 Hickok Ave,Syracuse,NY,13206
235 Rider Ave,Syracuse,NY,13207
405 S Edwards Ave,Syracuse,NY,13206
503 Wolcott Ave,Syracuse,NY,13207
154 Reed Ave # 56,Syracuse,NY,13207
105 Onondaga Ave,Syracuse,NY,13204
164 Hudson Street,Syracuse,NY,13204
212 Hudson St,Syracuse,NY,13207
904 Spring St. ,Syracuse,NY,13208
301 Hudson St,Syracuse,NY,13207
1239 Park St.,Syracuse,NY,13208
711 Avery Ave,Syracuse,NY,13204
505 Milton Ave,Syracuse,NY,13204
